,formula_label,symbol_set,subject
1271,Mean Directional Accuracy,"{A, g, F, i, N, s, t, n}",
1272,Mean absolute error,"{A, e, f, i, M, n, y, E}",Auxiliary sciences of history
1273,Mean circulatory filling pressure,"{A, M, P, S, R, V}",
1274,Mean curvature,"{H, κ}",Fields of mathematics
1275,Mean curvature flow,"{x, c, λ, u, v}",Fields of mathematics
1276,Mean log deviation,"{i, Q, Rep, d, V}",Auxiliary sciences of history
1277,Mean reciprocal rank,"{Q, i}",Auxiliary sciences of history
1278,Mean square weighted deviation,"{i, x, N}",
1279,Mean value analysis,"{k, m, L}",Applied sciences
1280,Measurable Riemann mapping theorem,"{∂, μ, z, f}",Categories by parameter
1281,Measure-preserving dynamical system,"{X, B, μ, T}",Fields of mathematics
1282,Mehler–Fock transform,"{d, f, i, F, P, t, ∞, x}",Fields of mathematics
1283,Mellin transform,"{d, f, φ, M, s, ∞, x}",Fields of mathematics
1284,Mercator series,"{ln, x}",Fields of mathematics
1285,Mersenne number,"{M, n}",Fields of mathematics
1286,Mersenne prime,"{e, i, M, m, n, p, r}",Life sciences
1287,Meschersky equation,"{d, F, m, M, u, t, v}",
1288,Meshedness coefficient,"{α, m, n}",Fields of mathematics
1289,Mesopic vision,"{x, λ, m, V}",Branches of biology
1290,Metadynamics,"{H, T, V}",Subfields of physics
1291,Metal-induced gap states,"{C, B, E, V}",Subfields of physics
1292,Method of distinguished element,"{A, x}",Fields of mathematics
1293,Methods of contour integration,"{γ, Γ, n}",Fields of mathematics
1294,Metropolis–Hastings algorithm,"{dim, Ann, R, M}",Subfields of physics
1295,Mex,{∅},
1296,Microcanonical ensemble,"{P, W}",Auxiliary sciences of history
1297,Microdispensing,"{e, D, σ, ρ, W, v}",Applied sciences
1298,Microplasma,"{A, B, d, ln, p, b, V, γ}",Subfields of physics
1299,Mie-Grüneisen equation of state,"{p, Γ, e, d, V}",
1300,Miles per gallon gasoline equivalent,"{G, P, M, e, E}",Professional studies
1301,Milner–Rado paradox,"{α, β, γ, X, n}",Life sciences
1302,Milnor number,"{C, n, f}",Fields of mathematics
1303,Milstein method,"{a, b, d, t, W, X}",Fields of mathematics
1304,Minimax approximation algorithm,"{a, p, b, x, f}",Applied sciences
1305,Minimum overlap problem,"{A, k, B, M, n}",Fields of mathematics
1306,Minkowski's bound,"{D, K, M, π, r, n}",Hermann Minkowski
1307,Minkowski's second theorem,"{x, K, λ, g, R}",Fields of mathematics
1308,Mired,"{M, T}",Political science theories
1309,Misorientation,"{A, B, Δ, g}",Life sciences
1310,Misunderstandings of p-values,"{α, m}",Life sciences
1311,Mittag-Leffler polynomials,"{z, t, g, n}",Fields of mathematics
1312,Mixing ratio,"{i, r, t, o, n}",Physical sciences
1313,Modal companion,"{a, b, e, f, i, ◻, l, o, n, p, s, r, T, v, y, t}",Branches of philosophy
1314,Model rocket motor classification,"{a, ′, e, d, F, h, P, s, r, u, T, v, t}",Applied sciences
1315,Models of DNA evolution,"{i, P, j, t}",Applied sciences
1316,Modified hyperbolic tangent,"{a, c, b, e, d, x, mtanh}",Fields of mathematics
1317,Modular elliptic curve,"{y, x, b, a, n}",Fields of mathematics
1318,Modus tollens,"{¬, Q, P}",Life sciences
1319,Molecular Hamiltonian,"{A, C, B, D}",Subfields of physics
1320,Mollifier,"{d, f, φ, Φ, n, R, y, x, ϵ}",Fields of mathematics
1321,Moment problem,"{d, m, n, μ, ∞, x}",Fields of mathematics
1322,Monadic predicate calculus,"{B, D, ¬, ∀, ∃, M, y, x, z}",Applied sciences
1323,Monge–Ampère equation,"{a, c, b, ∂, y, x, ϕ, z}",Fields of mathematics
1324,Monoid ring,"{k, ϕ, g, ℓ, ψ}",Fields of mathematics
1325,Monoidal natural transformation,"{a, C, D, G, F, I, J, m, n, d}",Fields of mathematics
1326,Monotonicity,"{i, X, R, v}",
1327,Moore graph,"{i, k, d}",Fields of mathematics
1328,Moore matrix,"{q, α, j, M, i}",Fields of mathematics
1329,Morava K-theory,"{Y, X, K, n}",Cohomology theories
1330,Morita equivalence,"{M, S, R, e, n}",Duality theories
1331,Morphological skeleton,"{X, S, B, μ, ρ}",Applied sciences
1332,Morse potential,"{a, r, e, D, V}",Physical sciences
1333,Morse/Long-range potential,"{e, D, f, p, r, u, V, y, β}",Physical sciences
1334,Motion ratio,"{a, c, e, D, g, i, m, M, l, n, p, s, R, t, W, h, r, S}",Professional studies
1335,Motor variable,"{f, j, R, u, v, y, x, z}",Fields of mathematics
1336,Mountain pass theorem,"{H, C, Γ, g, v}",Fields of mathematics
1337,Moving cluster method,"{a, c, e, d, i, n, θ, s, u, t, v}",
1338,Muller's method,"{x, k, w, f}",Fields of mathematics
1339,Multi-index notation,"{α, n}",Life sciences
1340,Multidimensional systems,"{A, e, t}",
1341,Multinomial logistic regression,"{i, X, k, score, β}",Applied sciences
1342,Multiplication theorem,"{Γ, e, d, f, F, i, π, k, ψ, m, ∇, Li, q, s, n, t, ξ, ∞, z, ζ, log}",Fields of mathematics
1343,Multiplicative order,"{a, k, mod, n}",Fields of mathematics
1344,Multiplicity of infection,"{P, e, m, n}",Life sciences
1345,Multiplier-accelerator model,"{I, Y, C, t, g}",Applied sciences
1346,Multiply–accumulate operation,"{a, c, b}",Fields of mathematics
1347,Multisymplectic integrator,"{K, L, ∇, S, t, x, z}",Fields of mathematics
1348,Multivariate probit model,"{C, g, L, o, n, R, ∖}",Applied sciences
1349,Murnaghan-Nakayama rule,"{χ, h, ρ, λ, t, T}",
1350,Møller scattering,"{i, θ, N}",Fields of mathematics
1351,N-electron valence state perturbation theory,"{Ψ, A, C, I, m, S}",Applied sciences
1352,N-ellipse,"{d, i, n, R, u, v, y, x}",Fields of mathematics
1353,"NTRU Cryptosystems, Inc.","{x, R, N}",Applied sciences
1354,Naimark's dilation theorem,"{i, C, S, o, L}",Fields of mathematics
1355,Nakajima-Zwanzig equation,"{i, H, ℏ, ∂, L, ρ, t}",
1356,Nanothermometry,"{Q, S, r, d, T}",Applied sciences
1357,Naor-Reingold Pseudorandom Function,"{a, g, F, f, n, p, x}",Sociological theories
1358,Napierian logarithm,"{a, log, g, L, o, N, p, x}",Fields of mathematics
1359,Napkin ring problem,"{h, V, π}",Life sciences
1360,Nash embedding theorem,"{d, g, f, w, v, ϵ}",Fields of mathematics
1361,Nash equilibrium,"{i, ∀, S, f, x}",
1362,Navier–Stokes equations,"{y, x, A, t}",Life sciences
1363,Near-field scanning optical microscope,"{A, λ, d, N}",Applied sciences
1364,Nearly completely decomposable Markov chain,"{log, ′, z, f}",Applied sciences
1365,Nearly free electron model,"{Ω, e, ψ, i, k, r}",Subfields of physics
1366,Necklace polynomial,"{α, M, d, n}",Fields of mathematics
1367,Negative refraction,"{ϵ, r, μ}",Articles containing video clips
1368,Nekhoroshev estimates,"{I, n, ε, t}",Fields of mathematics
1369,Nernst-Einstein equation,"{Λ, D, F, m, R, T, z, ν}",
1370,Nesbitt's inequality,"{a, c, b}",Fields of mathematics
1371,Nested RAID levels,"{a, c, e, D, f, i, o, n, s, r, t, v}",Applied sciences
1372,Network performance,"{c, m, s, t}",Formal sciences
1373,Neumann series,"{k, T, ∞}",Fields of mathematics
1374,Neural cryptography,"{i, x, j}",Sociological theories
1375,Neural modeling fields,"{X, d, D, n}",Applied sciences
1376,Neutral density filter,"{I, d}",
1377,New Keynesian economics,"{a, i, π, r, t, y}",Fields of history
1378,Newey–West estimator,"{e, d, f, i, l, o, n, w, r, t, ℓ, L}",Applied sciences
1379,Newman–Keuls method,"{A, B, E, M, n, q, S, X}",Applied sciences
1380,Newman–Shanks–Williams prime,"{S, m}",Fields of mathematics
1381,Newton's identities,"{i, x, k, n, p}",Fields of mathematics
1382,Newton's law of cooling,"{A, d, h, Q, t, Δ, T}",Subfields of physics
1383,Newton's law of universal gravitation,"{m, d, G, F}",Articles containing video clips
1384,Newton's rings,"{R, r, λ, N}",Subfields of physics
1385,Newton's second law of motion,"{a, m, F}",
1386,Newtonian gauge,"{Ψ, a, b, d, Φ, s, t, x, δ}",Life sciences
1387,Newtonian potential,"{x, ρ, V}",Fields of mathematics
1388,Neyman–Pearson lemma,"{θ, x, Λ, L, η}",Auxiliary sciences of history
1389,No free lunch in search and optimization,"{a, d, f, m, P, y}",Life sciences
1390,Nodal period,"{I, P, B, t, F}",Professional studies
1391,Nodary,"{a, E, k, u, sn, x}",Life sciences
1392,Node influence metric,"{log, i, h, j, p, κ, exp}",Fields of mathematics
1393,Noether inequality,"{X, c, g, p}",Fields of mathematics
1394,Noetherian ring,"{I, k}",Fields of mathematics
1395,Non-associative algebra,"{y, x, z}",Fields of mathematics
1396,Non-circular gear,"{θ, a, r}",Professional studies
1397,Non-exact solutions in general relativity,"{g, h, O, μ, ν, η}",Fields of mathematics
1398,Non-local means,"{Ω, C, d, f, q, p, u, v}",Applied sciences
1399,Non-random two-liquid model,"{a, c, b, d, f, i, τ, j, ln, T}",Subfields of physics
1400,Noncototient,"{q, φ, p, n}",Fields of mathematics
1401,Nonlinear Schrödinger equation,"{d, ψ, H, ∂, κ, x}",Fields of mathematics
1402,Nonlinear autoregressive exogenous model,"{y, F, u, t, ε}",Applied sciences
1403,Nonlinear eigenproblem,"{A, x, λ}",Fields of mathematics
1404,Nordström's theory of gravitation,"{ϕ, u, d, ∇, t}",Categories by parameter
1405,Normal family,"{n, z, f}",Fields of mathematics
1406,Normal force,"{θ, cos, m, g, N}",Subfields of physics
1407,Normal probability plot,"{i, a, z, Φ, n}",Fields of mathematics
1408,Normalization,"{I, N}",
1409,Normalized Compression Distance,"{y, x, K, p}",
1410,Normalized frequency,"{A, a, π, N, λ, V, n}",
1411,Normally distributed and uncorrelated does not imply independent,"{C, d, h, m, o, D}",Fields of mathematics
1412,Norton's theorem,"{x, t}",Subfields of physics
1413,Nowhere-zero flow,"{δ, e, φ, v}",Fields of mathematics
1414,Nuclear cross section,"{a, b, j, σ, p, B, T, v}",Subfields of physics
1415,Nuclear density,"{A, π, R, n}",Environmental studies
1416,Number theoretic Hilbert transform,"{c, i, m, N, ln, S, R, x, Δ}",Applied sciences
1417,Numerical methods in fluid mechanics,"{x, Δ, f}",Subfields of physics
1418,Nusselt number,"{h, k, u, L, N}",Physical sciences
1419,Nyquist ISI criterion,"{h, s, T, n}",Applied sciences
1420,Nyquist stability criterion,"{k, s, T, G}",Applied sciences
1421,Nyström method,"{a, b, d, h, k, n, w, x}",Life sciences
1422,Néel relaxation theory,"{K, τ, T, exp, V, k}",Branches of thermodynamics
1423,Néron differential,"{a, x, y}",Fields of mathematics
1424,Observed information,"{log, f, i, n, θ, ℓ, X}",Applied sciences
1425,Octave,"{a, c, e, log, f, o, s, t, v}",Society
1426,Ohm's law,"{I, R, V}",Subfields of physics
1427,Ohnesorge number,"{h, σ, L, O, μ, ρ}",Life sciences
1428,Old quantum theory,"{f, i, J, M, R, α, β}",Categories by parameter
1429,On shell and off shell,"{p, c, E, m}",Subfields of physics
1430,On-balance volume,"{h, c, R, E, n}",Life sciences
1431,One-loop Feynman diagram,"{ln, S, r, T, ϕ, Γ}",Fields of mathematics
1432,One-sided limit,"{a, x, r, o, f}",Fields of mathematics
1433,One-way compression function,"{i, H, E, m}",Applied sciences
1434,Onsager reciprocal relations,"{d, M, P, S, μ, T, V, U}",Life sciences
1435,Open-circuit time constant method,"{C, ω, j, O, R, V}",Life sciences
1436,Optical autocorrelation,"{A, E, d, τ, t, ∞}",Applied sciences
1437,Optical medium,"{y, H, E, x, η}",Electric and magnetic fields in matter
1438,Optical modulation amplitude,{P},Applied sciences
1439,Optical properties of carbon nanotubes,"{a, π, m, d, n}",Professional studies
1440,Optical transfer function,"{e, F, i, h, M, O, P, T, ν}",Subfields of physics
1441,Optical window in biological tissue,"{a, C, b, ln, H, O, λ, μ, ε}",
1442,Optimal stopping,"{E, G, τ, T, V, t}",Fields of mathematics
1443,Optional stopping theorem,"{X, τ, E}",Fields of mathematics
1444,Orbit phasing,"{e, π, T, E, sin, t}",Professional studies
1445,Orbit portrait,"{c, z, f}",Fields of mathematics
1446,Orbital state vectors,"{u, t, v}",Fields of mathematics
1447,Orientation of a vector bundle,"{π, ϕ, R, U, n}",Fields of mathematics
1448,Ornstein–Uhlenbeck operator,"{i, Δ, d, ∇, v}",Fields of mathematics
1449,Orthogonal trajectory,"{g, ∇, f}",Fields of mathematics
1450,Orthogonality,"{y, x, ρ, g, f}",Fields of mathematics
1451,Orthonormal basis,"{x, B, b}",Fields of mathematics
1452,Oscillator linewidth,"{A, c, f, π, S, v}",Subfields of physics
1453,Oscillator representation,"{α, β}",Fields of mathematics
1454,Oscillatory integral,"{a, e, d, f, i, ξ, x, ϕ}",Fields of mathematics
1455,Oseen equations,"{K, m, G, n}",Life sciences
1456,Ostrowski's theorem,"{x, c, K}",Fields of mathematics
1457,Ostrowski–Hadamard gap theorem,"{p, λ, j}",Fields of mathematics
1458,Oudin coil,"{C, π, L, f}",Professional studies
1459,Outer measure,"{i, φ, A, ∞}",Fields of mathematics
1460,Output power of an analog TV transmitter,"{e, d, i, P, t, T}",Applied sciences
1461,Overlap,"{y, x, ρ, g, f}",
1462,Overlap–save method,"{E, f, i, m, R, β}",Fields of mathematics
1463,Overspill,"{f, ∀, ∃, R, h, x, ϵ, δ, ε}",Life sciences
1464,P versus NP problem,"{P, N}",
1465,P-adic L-function,"{χ, p, s, L, n}",Fields of mathematics
1466,P-adically closed field,"{q, γ, z, π}",Fields of mathematics
1467,PCP theorem,"{C, log, O, N, P, n}",Life sciences
1468,PDF417,"{K, b, mod}",Society
1469,PH,"{P, k, N, Δ, H}",Physical sciences
1470,PI curve,"{I, α, β, e, P}",Physical sciences
1471,Padovan sequence,"{x, n, P, f}",Fields of mathematics
1472,Paillier cryptosystem,"{r, N, m, c, mod}",Applied sciences
1473,Pairing function,"{N, π}",
1474,Palladium-hydrogen electrode,"{a, H, s, b, d}",Professional studies
1475,Panjer recursion,"{f, i, h, k, P, X}",Fields of mathematics
1476,Paper bag problem,"{h, V, w, π}",Life sciences
1477,Pappus' area theorem,"{A, C, B, E, D, G, F, M, L}",
1478,Paradox of enrichment,"{d, f, K, t, y, x}",Fields of mathematics
1479,Paradox of the pesticides,"{m, K, λ, μ, s}",Life sciences
1480,Parallel axis theorem,"{J, m, d}",People
1481,Paris–Harrington theorem,"{k, m, n, P, S, R, N}",Fields of mathematics
1482,Parry point,"{a, c, b}",
1483,Parshall flume,"{Q, a, C, H, n}",Applied sciences
1484,Partial residual plot,{X},Political science theories
1485,Particle in a ring,"{m, ℏ, E, ∇, ψ}",Physical sciences
1486,Particle shower,"{ln, X, c, E}",Subfields of physics
1487,Particular point topology,"{P, c, r, N}",Fields of mathematics
1488,Partition function,"{e, d, i, J, S, x, ϕ, Z, D}",
1489,Pascal matrix,"{i, r, j, S, n}",Fields of mathematics
1490,Pascal's triangle,"{y, x, k, n}",Scholars and academics by discipline
1491,Pauli equation,"{A, ψ, i, m, ℏ, ∂, σ, q, p, t, ϕ}",Subfields of physics
1492,Pauli group,"{c, E, F, ln, K, n, R, T}",Fields of mathematics
1493,Peak signal-to-noise ratio,"{E, I, M, K, j, m, n, i, S}",Branches of philosophy
1494,Pearson product-moment correlation coefficient,"{Y, X, σ, ρ, cov}",Auxiliary sciences of history
1495,Peek's law,"{e, g, ln, m, S, r, v}",Subfields of physics
1496,Peierls transition,"{i, M, m, e, T}",Subfields of physics
1497,Pell's equation,"{y, x, n}",Fields of mathematics
1498,Penning ionization,"{I, E}",Applied sciences
1499,Peregrine soliton,"{i, τ, ∂, ξ, ψ}",Fields of mathematics
1500,Perlin noise,"{a, x, smoothstep, f}",Branches of philosophy
1501,Permutation polynomial,"{x, α, D, p, n}",Fields of mathematics
1502,Perovskite solar cell,"{p, J, e, t, V}",Branches of biology
1503,Perplexity,"{H, log, p, x}",Fields of mathematics
1504,Perron–Frobenius theorem,"{i, a, r, j}",Applied sciences
1505,Persymmetric matrix,"{a, ∀, j, i, n}",Fields of mathematics
1506,Pest insect population dynamics,"{x, l, L}",Life sciences
1507,Phase correlation,"{a, b, G, g, F}",Applied sciences
1508,Phase retrieval,"{x, e, d, f, i, k, F, π, ∞, ψ}",Branches of biology
1509,Photochemical Reflectance Index,"{I, P, R, ρ}",Branches of biology
1510,Photon Doppler velocimetry,"{a, j, E, i, ∂, n, x}",Fields of mathematics
1511,Photon diffusion,"{c, F, σ, ∇, π, U}",Branches of thermodynamics
1512,Photon entanglement,"{Ψ, H, V}",
1513,Phylogenetic comparative methods,"{y, x, r, n}",Subfields of evolutionary biology
1514,Piano key frequencies,"{a, E, R, U, W, V, Δ}",Society
1515,Picard–Fuchs equation,"{j, d, g, f}",Fields of mathematics
1516,Picard–Lindelöf theorem,"{y, t, f}",Fields of mathematics
1517,Piecewise linear continuation,"{y, x, s, t}",Applied sciences
1518,Pillai's arithmetical function,"{P, k, n}",Fields of mathematics
1519,Pincherle polynomials,"{a, e, n, t, exp, x, β}",Fields of mathematics
1520,Plancherel theorem for spherical functions,"{d, G, f, χ, φ, π, g, λ}",Fields of mathematics
1521,Planck charge,"{c, e, ℏ, π, q, α, ϵ}",Subfields of physics
1522,Planck time,"{P, ℏ, c, G, t}",Max Planck
1523,Plane of rotation,"{a, b}",Fields of mathematics
1524,Plug flow,"{u, s, δ, ν}",Physical sciences
1525,Plummer model,"{a, M, ρ, π, P, r}",Subfields of physics
1526,Pluriharmonic function,"{a, C, b, z, n}",Fields of mathematics
1527,Plücker's conoid,"{y, x, z}",Life sciences
1528,Pneumatic cylinder,"{Ψ, ∂, i, ℏ, j, m, x}",Physical sciences
1529,Pochhammer symbol,"{x, n}",
1530,Pocket set theory,"{Y, ∀, z, X}",Life sciences
1531,Poincaré group,"{S, R, O}",Fields of mathematics
1532,Poincaré inequality,"{Ω, C, L, ∇, p, u}",Fields of mathematics
1533,Poincaré–Lelong equation,"{i, ∂, u, ρ}",Fields of mathematics
1534,Poinsot's ellipsoid,"{V, v}",Subfields of physics
1535,Point accepted mutation,"{n, N, j, f}",Fields of mathematics
1536,Poisson binomial distribution,"{i, p, μ, n}",Life sciences
1537,Poisson distribution,"{X, k, λ, e, p}",Life sciences
1538,Poisson kernel,"{cos, e, Re, i, n, θ, P, r, ∞}",Fields of mathematics
1539,Poisson sampling,"{i, j, π}",Auxiliary sciences of history
1540,Poisson–Boltzmann equation,"{c, B, e, ψ, k, ρ, T, y, x, z}",Subfields of physics
1541,Polar sine,"{Π, Ω, psin, n, v}",Life sciences
1542,Polarization identity,"{b, μ, T, exp}",Fields of mathematics
1543,Poloidal toroidal decomposition,"{∇, F}",
1544,Polygamma function,"{z, d, ψ, ln, m, Γ}",Fields of mathematics
1545,Polynomial basis,"{a, A, λ, i, k, m, ρ, n, I, r}",Sociological theories
1546,Polynomial long division,{x},Fields of mathematics
1547,Ponderal index,"{a, C, e, g, i, h, m, I, s, t}",
1548,Pontryagin duality,"{e, G, χ, T, v, x}",Duality theories
1549,Pontryagin's maximum principle,"{f, ∀, λ, u, t, H, x, U}",Fields of mathematics
1550,Pore water pressure,"{p, s, w, g, h}",Applied sciences
1551,Position operator,"{x, ψ, d, ∞}",Subfields of physics
1552,Positive and negative sets,"{A, n, ∞}",Fields of mathematics
1553,Positive-real function,"{A, C, B}",Fields of mathematics
1554,Possibility theory,"{U, pos, ω}",Life sciences
1555,Post-modern portfolio theory,"{t, r, d, f, ∞}",Professional studies
1556,Potential method,"{a, o, c, b, e, d, f, C, m, l, Φ, i, S, r, u, t, z, T}",Applied sciences
1557,Potts model,"{J, g, i, H, j, s, h, β, δ}",Fields of mathematics
1558,Power number,"{D, P, ρ, N, p, n}",Life sciences
1559,Power series solution of differential equations,"{a, z, f}",Fields of mathematics
1560,Power transform,"{M, e, V}",Auxiliary sciences of history
1561,Power-law fluid,"{∂, K, τ, n, u, y}",Environmental studies
1562,Power-law index profile,"{θ, P, S, cos}",Applied sciences
1563,Poynting vector,"{H, S, E}",Fields of mathematics
1564,Poynting's theorem,"{J, E, ∂, ∇, S, u, t}",Subfields of physics
1565,Practical number,"{i, j, d, n}",Categories by parameter
1566,Prandtl number,"{c, P, k, ρ, p, r, μ, ν, α}",Physical sciences
1567,Precipitation hardening,"{A, r, b, π}",Life sciences
1568,Precision tests of QED,"{c, e, ℏ, m, π, R, ∞, α}",Fields of mathematics
1569,Predicative programming,"{Q, P, b, ∀}",Applied sciences
1570,Price of fairness,"{a, e, D, F, i, f, l, o, n, P, s, r, O, w, v}",Cross-cultural studies
1571,Primary pseudoperfect number,"{p, N}",Categories by parameter
1572,Prime-factor FFT algorithm,"{A, k, z, M, W}",Applied sciences
1573,Primitive element theorem,"{x, n, α, f}",Fields of mathematics
1574,Principal axis theorem,"{Q, A, T, x}",Fields of mathematics
1575,Principal homogeneous space,"{x, g}",Fields of mathematics
1576,Principal value,"{z, e, w}",Fields of mathematics
1577,Principle of distributivity,"{A, C, B}",Fields of mathematics
1578,Principle of explosion,"{Q, ∀, ¬, P}",Life sciences
1579,Principle of indifference,"{V, ∂, L, f}",Fields of mathematics
1580,Prior probability,"{A, P, B, i, j}",Auxiliary sciences of history
1581,Probability measure,"{Ω, μ}",Fields of mathematics
1582,Probit model,"{Y, X, β, x}",Applied sciences
1583,Procept,"{a, c, e, d, g, f, i, h, m, l, o, n, p, s, r, u, t, w}",Society
1584,Product integral,"{a, b, d, f, i, x, Δ}",Physical sciences
1585,Product of rings,"{p, k, n}",Fields of mathematics
1586,Product rule,"{g, f}",Life sciences
1587,Product state,{ρ},Subfields of physics
1588,Proizvolov's identity,"{A, B, N}",Society
1589,Projection-valued measure,"{X, id, H, π}",Fields of mathematics
1590,Projective frame,"{λ, v, n}",Fields of mathematics
1591,Prony equation,"{a, b, D, f, h, L, V}",Life sciences
1592,Prony's method,"{A, cos, e, f, i, M, σ, π, t, ϕ}",Applied sciences
1593,Proof of Bertrand's postulate,{n},WikiProjects
1594,Proof of knowledge,"{a, b, g, K, P, y, x}",Life sciences
1595,Proof sketch for Gödel's first incompleteness theorem,"{y, P, q, G, ∀}",Fields of mathematics
1596,Proofs related to chi-squared distribution,"{J, ∞, u, V}",WikiProjects
1597,Propulsive efficiency,"{Q, h, c, d, W}",Professional studies
1598,Protein precipitation,"{H, S, Δ, T, G}",Applied sciences
1599,Prune and search,"{p, S, T, n}",Applied sciences
1600,Pseudo-random number sampling,"{i, F, j, f}",Subfields of physics
1601,Pseudo-spectral method,"{ψ, i, ∂, t, V, x}",Applied sciences
1602,Pseudolikelihood,"{a, c, E, f, i, h, j, l, o, r, w, X, x}",Auxiliary sciences of history
1603,Pseudometric space,"{x, d, g, f}",Fields of mathematics
1604,Pseudorandom binary sequence,"{a, f, j, o, N, r}",Fields of mathematics
1605,Pseudoscalar,{e},Fields of mathematics
1606,Pseudospectrum,"{A, C, E, λ, ∃, n, Λ, x, ϵ}",Fields of mathematics
1607,Ptolemy's table of chords,"{θ, chord, sin, π}",Fields of mathematics
1608,Pulmonary compliance,"{a, c, e, P, i, m, l, o, n, p, V, C, Δ}",Life sciences
1609,Pulse repetition frequency,{T},Fields of mathematics
1610,Pulse-Doppler radar,{C},Airfields
1611,Pulsed EPR,"{B, γ, L, ω}",
1612,Purcell effect,"{c, F, n, Q, P, λ, V, π}",Subfields of physics
1613,Pure submodule,"{a, i, j, m, n, y, x}",Fields of mathematics
1614,Purification of quantum state,"{r, B, t, ρ, ψ}",Fields of mathematics
1615,Putnam model,{B},Political science theories
1616,Pythagorean theorem,"{a, c, b}",Life sciences
1617,Pythagorean trigonometric identity,"{θ, cos, sin}",Life sciences
1618,Pythagorean triple,"{a, c, b, m, n}",Life sciences
1619,Péclet number,"{P, e}",Physical sciences
1620,Pólya enumeration theorem,"{c, G, g, m, Y, X}",Fields of mathematics
1621,Q-Pochhammer symbol,"{q, a, k, n}",Fields of mathematics
1622,Q-Vandermonde identity,"{q, k, j, m, n}",Fields of mathematics
1623,Q-analog,"{q, n}",Fields of mathematics
1624,Q-gamma function,"{a, x, b, d, f}",Fields of mathematics
1625,Q10,"{Q, R, T}",
1626,Quadratic integer,"{P, U, p}",Fields of mathematics
1627,Quadratic residue,"{q, x, n, mod}",Fields of mathematics
1628,Quadratic sieve,"{ln, e, L, o, n}",Sociological theories
1629,Quadratrix,"{a, y, π, cot, x}",Physical sciences
1630,Quadratrix of Hippias,"{a, x, f, cot, π}",Physical sciences
1631,Quadrature amplitude modulation,"{i, j, w, n}",Applied sciences
1632,Quadrifolium,"{i, n, s, r, y, x, ϕ}",Fields of mathematics
1633,Quantile regression,"{Y, Q, τ, y, F}",Applied sciences
1634,Quantized state systems method,"{A, i, R, B, N}",Fields of mathematics
1635,Quantum circuit,"{H, QB, ℓ, n}",Applied sciences
1636,Quantum cloning,"{A, U, B, e, ψ}",Subfields of physics
1637,Quantum concentration,"{ℏ, M, n, Q, T, π, k}",Auxiliary sciences of history
1638,Quantum convolutional code,"{a, y, x}",Subfields of physics
1639,Quantum excitation,"{d, K, π, S, ξ, ∞}",
1640,Quantum limit,"{ℏ, Δ, O, F}",Subfields of physics
1641,Quantum nonlocality,"{a, A, B, y, b, X, Y, x}",Subfields of physics
1642,Quantum phase estimation algorithm,"{x, ψ, n}",Applied sciences
1643,Quantum reflection,"{c, g, i, o, n, p, s, ν, t}",Subfields of physics
1644,"Quantum stirring, ratchets, and pumping","{d, G, I, Q, t, X}",Subfields of physics
1645,Quark–lepton complementarity,"{C, K, M, N, θ, P, S}",Subfields of physics
1646,Quarter period,"{d, K, m, π, θ, sin}",Fields of mathematics
1647,Quasi-Frobenius Lie algebra,"{β, g}",Fields of mathematics
1648,Quasi-Hopf algebra,"{a, c, b, i, S, α, ε}",Fields of mathematics
1649,Quasi-continuous function,"{G, f, ∀, y, x, ϵ}",Fields of mathematics
1650,Quasi-finite field,"{K, Gal, ϕ, Z, s}",Fields of mathematics
1651,Quasi-relative interior,"{A, c, e, qri, o, n, x}",Fields of mathematics
1652,Quasiconvex function,"{y, x, λ, f}",Fields of mathematics
1653,Quasilinear utility,"{θ, x, u, L}",Society
1654,Quasinormal mode,"{cos, ′, e, ω, ψ, t}",Branches of biology
1655,Quasiprobability distribution,"{H, G, O, N}",Auxiliary sciences of history
1656,Quincunx matrix,{A},Fields of mathematics
1657,Quotient rule,"{x, f, g, h}",Life sciences
1658,Quotient stack,"{X, G}",Fields of mathematics
1659,RANDU,"{j, V}",Applied sciences
1660,RKKY interaction,"{cos, i, H, k, j, m, π, I, R, sin, Δ, ℏ}",Subfields of physics
1661,RSA,"{m, n, e, d, mod}",
1662,Rabi problem,"{a, E, ω, τ, m, r, t, x, e}",Subfields of physics
1663,Racks and quandles,"{a, c, b}",Fields of mathematics
1664,Radiant exposure,"{A, E, d, H, ∂, Q, t, e, T}",Physical sciences
1665,Radical polymerization,"{d, f, I, k, M, i, t, v}",Physical sciences
1666,Radon–Riesz property,"{x, n}",Fields of mathematics
1667,Rail adhesion,"{k, λ, r, d, π}",
1668,Rainflow-counting algorithm,"{N, k, B, f}",Physical sciences
1669,Rainville polynomials,"{e, I, n, p, w, z}",Fields of mathematics
1670,Ramanujan prime,"{x, R, n, π}",Categories by parameter
1671,Ramanujan's master theorem,"{x, k, f, ϕ, ∞}",Categories by parameter
1672,Ramanujan–Soldner constant,"{ln, μ, t, d}",Categories by parameter
1673,Ramberg–Osgood relationship,"{a, c, e, i, m, S, l, s, r, t, n, ε}",Physical sciences
1674,Ramification group,{G},Fields of mathematics
1675,Ramsey–Cass–Koopmans model,"{c, g, f, k, n, δ}",Fields of mathematics
1676,Randolph diagram,"{¬, Q, P}",
1677,Range accrual,"{i, P, N}",Fields of mathematics
1678,Range expansion index,"{k, j, m, S, n, s}",Life sciences
