,formula_label,symbol_set,subject
1110,Laplace formula,"{b, ), (, +, =, P, r, t, α, Δ}",Physical sciences
1111,Laplace number,"{a, σ, L, ρ, S, μ, u, =}",Life sciences
1112,Laplace operator,"{⋅, ∇}",Life sciences
1113,Laplace operators in differential geometry,"{=, −, Δ, T, ∇}",Life sciences
1115,Laplace transform,"{∫, e, d, F, ), (, f, s, t, ∞, −, =}",Life sciences
1116,Laplace–Beltrami operator,"{⋅, =, ∇, f}",Life sciences
1117,Laplacian matrix,"{d, ), H, +, ,, s, u, (, v, y, x, =}",Life sciences
1118,Laplacian of the indicator,"{∂, ∇, ⁡, ), (, +, ρ, ϕ, =, ⋅, E, S, R, a, e, f, i, o, n, q, u, t, Γ, grad, |}",Life sciences
1120,Large deviations theory,"{i, M, N, ∑, X, =}",Life sciences
1121,Las Vegas algorithm,"{∩, =, ,}",Applied sciences
1122,Latent class model,"{≈, i, j, p, t, ∑, T}",Applied sciences
1123,Latin square,"{!, ∏, ), (, k, ≥, L, /, n, =}",Applied sciences
1124,Laughlin wavefunction,"{a, ∫, d, ), (, +, t, y, x}",Physical sciences
1125,Laurent polynomial,"{∈, F, k, ,, p, ∑, X, =}",Life sciences
1126,Laurent series,"{a, c, −, f, ), (, n, ∞, ∑, z, =}",Life sciences
1127,Law of demand,"{′, f, ), (, ,, Q, P, x, =, <}",Applied sciences
1128,Law of total cumulance,"{∈, B, i, (, ∣, ,, π, ), κ, …, Y, X, n, =, ∑}",Life sciences
1129,Lax–Friedrichs method,"{a, +, u, t, x, =}",Life sciences
1130,Lead–lag compensator,"{−, p, s, Y, X, z, =}",Applied sciences
1131,Least-squares spectral analysis,"{x, ϕ, ≈}",Applied sciences
1132,Lebesgue integration,"{d, f, ), (, ∣, μ, t, x, {, }, >}",Physical sciences
1133,Lee distance,"{min, i, (, ,, n, q, ), y, x, −, =, ∑}",Life sciences
1134,Left quotient,"{∈, ), }, ∃, L, ∧, w, (, x, {, =, |, ∖}",Life sciences
1135,Legendre symbol,"{a, None, ≡, ), (, ≢, ,, ., p, {, −, =, mod}",Life sciences
1137,Legendre–Clebsch condition,"{a, ∫, b, d, ), (, L, ,, ′, t, x}",Life sciences
1138,Lehmer matrix,"{A, i, (, j, ,, ), =}",Life sciences
1139,Lehmer random number generator,"{⋅, g, k, n, X, =, +, mod}",Life sciences
1140,Lehmer sieve,"{=, +, ×}",Applied sciences
1141,Leibniz formula for determinants,"{a, A, ∏, ∈, i, det, ⁡, σ, ,, n, ), S, (, sgn, ∑, =}",Life sciences
1142,Leibniz formula for π,"{−, ), (, +, n, ∞, ∑, π, =}",Life sciences
1143,Lemaître coordinates,"{d, g, ), (, +, θ, s, r, t, ⁡, ϕ, −, =, sin}",Life sciences
1144,Lemaître–Tolman metric,"{Ω, ′, E, d, ), (, +, s, R, t, −, r, =}",Life sciences
1145,Lemoine point,"{A, a, C, B, ), (, c, b, ⁡, :, =, sin}",Life sciences
1146,Lens clock,"{D, ), (, /, n, s, ϕ, −, =}",Life sciences
1147,Leonardo number,"{None, ), (, +, L, n, {, −, =, >}",Life sciences
1148,Leray projection,"{⋅, ), =, ∇, P, u, (, −, Δ}",Life sciences
1149,Leray's theorem,"{ˇ, F, ), H, ,, q, U, (, X, =}",Life sciences
1150,Leslie matrix,"{A, G, ≤, ⋯, n, =}",Life sciences
1151,Levi-Civita connection,"{⊂, ), (, +, M, n, R}",Life sciences
1152,Levinson recursion,"{y, x, =, M, →}",Life sciences
1153,Lidstone series,"{A, C, −, f, ), (, k, ⁡, +, π, N, n, =, ∞, ∑, [, z, ], sin}",Life sciences
1154,Lie algebra representation,"{g, ), (, l, ρ, →, V, :}",Life sciences
1155,Lieb's square ice constant,"{f, ), lim, …, n, →, (, ∞, =}",Life sciences
1156,Lieb–Liniger model,"{), (, +, s, r, ℓ, −, =}",Auxiliary sciences of history
1158,Light scattering by particles,"{x, r, λ, =, π}",Physical sciences
1159,Likelihood ratios in diagnostic testing,"{−, +, R, =, L}",Auxiliary sciences of history
1160,Limit cardinal,"{ℵ, ℶ, =}",Life sciences
1161,Limit comparison test,"{a, c, b, <, −, n, ε}",Life sciences
1162,Lindström quantifier,"{A, a, ∈, ], ¯, ,, ⊨, =, [, x, ϕ, :, }, {}",Life sciences
1163,Linear canonical transformation,"{A, ∈, ), (, ⊕, S, U, V, α, =}",Applied sciences
1164,Linear classifier,"{⋅, f, ), (, j, ,, →, w, y, x, =, ∑}",Applied sciences
1165,Linear matrix inequality,"{A, ≥, ), (, +, ⋯, m, LMI, ⁡, y, =}",Life sciences
1166,Linear network coding,"{⋅, g, i, k, M, S, ∑, X, =}",Life sciences
1167,Linear probability model,"{Pr, ′, ), (, X, Y, x, β, =, |}",Applied sciences
1168,Linear-quadratic regulator,"{A, B, +, u, x, ˙, =}",Applied sciences
1169,Linearity of differentiation,"{⋅, g, f, ), (, +, α, x, β}",Life sciences
1170,Linearized gravity,"{h, +, =, g, η}",Life sciences
1171,Lineweaver–Burk plot,"{max, K, =, m, S, V, [, ], +}",Physical sciences
1172,Link budget,"{), (, +, =, u, t, x, −, Δ}",Society
1174,Liouville–Neumann series,"{), (, n, λ, ∞, ∑, x, ϕ, =}",Life sciences
1177,Lipschitz domain,"{∈, B, ), =, ∥, n, <, p, r, (, x, R, −, }, {, |}",Life sciences
1178,Lissajous knot,"{cos, ), (, +, ,, n, t, ⁡, y, x, ϕ, z, =}",Life sciences
1179,List of integrals of logarithmic functions,"{a, ∫, log, ln, ⁡, x, −, =, d}",Physical sciences
1180,Littlewood conjecture,"{‖, n, →, ∞, α, β, =, lim inf}",Life sciences
1181,Littlewood's 4/3 inequality,"{B, e, i, (, ≤, j, ∥, ,, /, ), ∞, ∑, =, |}",Life sciences
1182,Liu Hui's π algorithm,"{A, −, =, D, N}",Categories by parameter
1183,Live variable analysis,"{y, x, +, =, N}",Life sciences
1184,Liénard equation,"{d, g, f, ), (, +, t, x, =}",Life sciences
1186,Local boundedness,"{f, ), (, ≤, M, x, |}",Life sciences
1187,Local field,"{a, ), (, μ, X, =, |}",Life sciences
1188,Local martingale,"{min, =, k, τ, ,, t, X, {, }}",Applied sciences
1189,Local volatility,"{d, ), (, +, σ, S, r, t, W, −, =}",Professional studies
1190,Locally compact quantum group,"{∈, C, I, (, ∣, }, |, ), ℑ, y, {, z, =, ≤}",Life sciences
1191,Lockhart–Martinelli parameter,"{d, I, (, +, J, ,, ), y, x, =}",Life sciences
1192,Log amplifier,"{ln, (, K, V, ), ⁡, =}",Applied sciences
1193,Log area ratio,"{A, log, k, r, ⁡, −, =, +}",Applied sciences
1195,Logarithmic convolution,"{a, ∫, d, ), (, l, s, r, t, ∞, =, ∗}",Life sciences
1196,Logarithmic growth,"{+, ⋯}",Life sciences
1197,Logarithmically concave measure,"{A, B, ), (, +, ≥, λ, μ, −}",Life sciences
1198,London equations,"{j, e, ×, ∂, m, ,, ∇, n, s, B, t, E, −, =}",Life sciences
1199,London penetration depth,"{m, L, n, q, λ, μ, =}",Physical sciences
1200,Long-tail traffic,"{), (, k, ρ, ∼, α, −}",Applied sciences
1201,Longest common subsequence problem,"{i, (, O, n, ), ∑, >}",Life sciences
1202,Loomis–Whitney inequality,"{d, j, π, →, R, −}",Life sciences
1203,Loop algebra,"{C, g, ), (, ⊗, S, ∞}",Life sciences
1204,Loop quantum gravity,"{∈, ), ∀, =, ⇒, ⇔, (, y, x, [, z, ]}",Physical sciences
1205,Loop representation in gauge theories and quantum gravity,"{f, i, =, k, j, ,, T, [, ]}",Physical sciences
1206,Loop theorem,"{D, f, ), (, ∂, M, ,, →, :}",Life sciences
1207,Loop-erased random walk,"{i, =}",Applied sciences
1208,Lorden's inequality,"{b, E, ), (, ≤, R, ⁡, X}",Life sciences
1209,Lorentz force,"{B, E, F, ), =, +, q, (, v, ×}",Physical sciences
1210,Lorentz–Lorenz equation,"{−, π, +, N, α, n, =}",Physical sciences
1211,Lorenz gauge condition,"{A, ∂, ,, ≡, μ, =}",Physical sciences
1212,Lottery mathematics,"{!, ), (, k, n, −, =}",Life sciences
1213,Low Exercise Price Option,"{e, D, ), (, L, /, n, S, r, y, X, −, =, ,}",Professional studies
1214,Low level injection,"{=, +, Δ, n}",Physical sciences
1215,Low-discrepancy sequence,"{∫, d, ≈, f, i, (, N, ), u, ∑, x, =}",Life sciences
1216,Low-energy electron microscopy,"{B, f, ), (, k, ∇, s, T, x, =, +}",Physical sciences
1217,Lower convex envelope,"{∫, E, d, ), (, t, ∞, =}",Life sciences
1218,Lower hybrid oscillation,"{Ω, ), e, ω, i, (, +, =, ,, /, p, [, −, ]}",Physical sciences
1219,Lucas primality test,"{a, ≡, ), (, n, −, mod}",Applied sciences
1221,Lucas sequence,"{⋅, ), (, +, ≥, ,, n, Q, P, U, V, ;, −, =}",Life sciences
1222,Lucas–Kanade method,"{I, (, +, q, ), t, V, y, x, −, =}",Applied sciences
1223,Luce's choice axiom,"{), i, (, j, P, w, ∑, =}",Life sciences
1224,Luminosity,"{D, G, ], ,, g, s, ±, α, β, =, [}",Physical sciences
1225,Lusin's theorem,"{a, C, b, f, ,, →, [, ]}",Life sciences
1226,Luttinger's theorem,"{∫, D, ω, ), (, k, ,, π, G, p, n, =, >, d}",Physical sciences
1227,Lyapunov–Schmidt reduction,"{f, ), (, ,, λ, x, =}",Life sciences
1228,Lyman series,"{c, ≈, λ, ), h, =, n, R, (, −, ×}",Physical sciences
1230,Lévy's continuity theorem,"{∈, e, i, φ, =, ,, n, ), R, t, ∀, (, X, N, E}",Life sciences
1231,Löb's theorem,"{A, #, B, e, ⊢, f, i, h, ,, n, P, t, w, (, →, )}",Life sciences
1232,Löwenheim–Skolem theorem,"{→, φ, n, M, f}",Life sciences
1233,M. Riesz extension theorem,"{∩, ∈, F, ), (, K, ≥, x, ϕ}",Life sciences
1234,M2-brane,"{c, G, M, θ, r, =}",Life sciences
1235,MICEX 10,"{⋅, ), i, (, k, P, ∑, =}",Professional studies
1236,MacMahon Master theorem,"{∈, }, ∥, R, S, r, x, {, =}",Life sciences
1237,Macaulay brackets,"{None, }, ≥, ,, x, {, =, <}",Life sciences
1238,Macaulay's method,"{y, ln, ′, =, ⁡}",Professional studies
1239,Maclaurin's inequality,"{S, ≥, ⋯, n}",Life sciences
1240,Macrodiversity,"{H, +, n, y, x, =}",Physical sciences
1241,Madelung equations,"{⋅, ρ, ), (, +, ∂, ∇, u, t, =}",Life sciences
1242,Magic cube,"{), (, +, M, n, =}",Applied sciences
1243,Magnetic anisotropy,"{−, E, ), (, K, ⁡, θ, V, γ, =, sin}",Physical sciences
1244,Magnetic dipole,"{A, ), (, =, m, π, r, μ, ×}",Physical sciences
1245,Magnetoelectric effect,"{i, H, k, j, P, …, ∑, α, β, =, +}",Physical sciences
1246,Magnetorheological fluid,"{d, ), H, +, τ, ,, >, (, v, y, z, =, η}",Professional studies
1247,Mahler polynomial,"{!, e, g, ), (, +, /, n, t, exp, ⁡, ∑, x, −, =}",Life sciences
1249,Malliavin calculus,"{∫, d, f, ), (, +, λ, ∞, x, −, =, ε}",Life sciences
1250,Malthusian growth model,"{e, ), (, P, r, t, =}",Life sciences
1253,Mandelstam variables,"{⋅, ≈, ), (, +, p, s, =}",Physical sciences
1254,Manning formula,"{h, k, /, n, S, R, V, =}",Physical sciences
1256,Many-sorted logic,{⊆},Life sciences
1257,Marconi's law,"{H, c, =, D}",Life sciences
1258,Margaria-Kalamen power test,"{g, h, m, P, t, =}",Applied sciences
1259,Marginal product,"{Y, Δ, L}",Applied sciences
1260,Marginal propensity to save,"{P, S, =, M}",Applied sciences
1261,Marginal revenue productivity theory of wages,"{=, P, R, M, ×}",Applied sciences
1262,Market concentration,"{f, ), (, Q, P, S, R, x, −, =}",Life sciences
1263,Markov additive process,"{J, E, g, f, ), (, +, F, ,, s, t, =, X, [, −, ], |}",Applied sciences
1267,Martingale central limit theorem,"{∈, ∞, ⁡, −, ∫, ), lim, +, τ, ,, π, =, <, Φ, P, R, ν, X, d, →, u, exp, (, x}",Life sciences
1268,Martingale difference sequence,"{a, E, d, ,, n, t, ∞, X, [, ], <}",Applied sciences
1270,Mason's invariant,"{d, ), H, +, n, s, (, ∞, Z, =}",Applied sciences
1271,Mason–Stothers theorem,"{a, c, b, ), max, ≤, rad, ,, (, ⁡, {, −, }, deg}",Life sciences
1272,Mason–Weaver equation,"{a, C, ), i, h, =, o, P, T, (, −, Δ}",Applied sciences
1274,Mass attenuation coefficient,"{m, μ, ρ}",Physical sciences
1275,Massieu function,"{Ψ, i, (, +, ,, ), r, …, Y, X, =}",Physical sciences
1277,Material failure theory,"{), H, N, (, −, =}",Physical sciences
1279,Material requirements planning,"{′, i, (, J, ,, ., ), x, =}",Professional studies
1280,Mathematical coincidence,"{=, …}",Categories by parameter
1281,Matsumoto zeta function,"{A, ∏, ), (, p, s, ϕ, −, =}",Life sciences
1282,Matérn covariance function,"{), h, +, π, r, (, V, =}",Applied sciences
1283,Mauchly's sphericity test,"{−, H, =, σ}",Auxiliary sciences of history
1284,Maximum a posteriori estimation,"{↦, f, ), (, ∣, θ, x}",Auxiliary sciences of history
1285,Maximum entropy spectral estimation,"{), (, k, R, x, α, =}",Life sciences
1286,Maximum length sequence,"{{, ξ, ], F, ), (, +, σ, ,, /, μ, exp, ⁡, }, x, [, −, =, ;}",Life sciences
1287,Maximum likelihood sequence estimation,"{), (, ∣, L, p, r, x, =}",Applied sciences
1289,Maxwell's equations,"{⋅, B, E, ×, ), (, J, ∂, ,, ρ, ∇, μ, t, +, −, =, ε}",Physical sciences
1290,Maxwell–Boltzmann distribution,"{e, f, ), (, k, m, π, T, v, −, =}",Life sciences
1291,Maxwell–Jüttner distribution,"{), F, i, (, +, ⋯, P, V, =}",Environmental studies
1292,Mazur–Ulam theorem,"{→, :, f, W, V}",Life sciences
1294,Mean absolute error,"{A, e, f, i, M, n, ∑, y, E, −, =, |}",Auxiliary sciences of history
1296,Mean curvature,"{), H, +, κ, (, =}",Life sciences
1297,Mean curvature flow,"{c, ), (, ▹, /, ., λ, u, v, x, [, ]}",Life sciences
1298,Mean log deviation,"{∈, d, i, }, Rep, ⁡, ,, Q, ), (, V, {, =}",Auxiliary sciences of history
1299,Mean reciprocal rank,"{i, ., Q, ∑, =, |}",Auxiliary sciences of history
1301,Mean value analysis,"{≈, ), (, k, m, L, −}",Applied sciences
1302,Measurable Riemann mapping theorem,"{¯, f, ), (, ∂, μ, z, =}",Categories by parameter
1303,Measure-preserving dynamical system,"{B, ), (, ,, μ, T, X}",Life sciences
1304,Mehler–Fock transform,"{∫, ), d, f, i, (, ≤, F, ,, /, P, t, ∞, x, −, =}",Life sciences
1305,Mellin transform,"{∫, d, f, ), φ, M, }, s, (, ∞, x, {, −, =}",Life sciences
1306,Mercator series,"{ln, (, +, ⋯, ), ⁡, x, −, =}",Life sciences
1307,Mersenne number,"{=, −, M, n}",Life sciences
1308,Mersenne prime,"{e, i, M, m, ,, n, p, r, −, =}",Life sciences
1310,Meshedness coefficient,"{+, m, n, α, −, =}",Life sciences
1311,Mesopic vision,"{′, ), (, +, m, λ, V, x, −, =}",Life sciences
1312,Metadynamics,"{H, +, =, T, V}",Physical sciences
1313,Metal-induced gap states,"{C, B, E, =, +, ¯, V, [, ]}",Physical sciences
1314,Method of distinguished element,"{A, ), (, +, x, −, =, |}",Life sciences
1315,Methods of contour integration,"{Γ, +, ⋯, n, γ, =}",Life sciences
1316,Metropolis–Hastings algorithm,"{dim, ), (, Ann, M, /, R, ⁡, =}",Physical sciences
1318,Micro-mechanics of failure,"{!, ⋅}",Physical sciences
1319,Microcanonical ensemble,"{P, =, /, W}",Auxiliary sciences of history
1320,Microdispensing,"{e, D, σ, ρ, W, v, =}",Applied sciences
1321,Microplasma,"{A, B, d, ), ln, (, +, ⁡, /, p, b, V, γ, =}",Physical sciences
1323,Miles per gallon gasoline equivalent,"{e, G, M, ,, P, E, =, ∗}",Professional studies
1324,Milner–Rado paradox,"{;, ⋃, }, +, n, X, α, β, γ, =, {, ∖}",Life sciences
1325,Milnor number,"{C, f, ), (, ,, n, →}",Life sciences
1326,Milstein method,"{a, b, d, ), (, +, t, W, X, =}",Life sciences
1327,Minimax approximation algorithm,"{a, b, f, ), (, ≤, p, max, x, −, |}",Applied sciences
1328,Minimum overlap problem,"{A, B, min, ), max, k, M, ,, n, (, ., =}",Life sciences
1330,Minkowski's second theorem,"{∈, g, ), }, K, inf, λ, (, x, R, =, {}",Life sciences
1331,Mired,"{=, M, T}",Society
1332,Misorientation,"{A, =, B, Δ, g}",Life sciences
1333,Misunderstandings of p-values,"{), (, m, α, −, =}",Life sciences
1334,Mittag-Leffler polynomials,"{z, g, ), (, +, n, t, ∑, −, =}",Life sciences
1335,Mixing ratio,"{i, o, n, r, t, −, =}",Physical sciences
1336,Modal companion,"{a, b, e, f, i, (, ◻, l, o, n, p, s, r, T, =, v, y, [, ], ), t}",Life sciences
1337,Model rocket motor classification,"{a, ∫, ′, e, d, F, ), h, P, s, r, u, T, v, (, =, t}",Applied sciences
1338,Models of DNA evolution,"{), i, (, j, P, t, =}",Applied sciences
1339,Modified hyperbolic tangent,"{a, c, b, e, d, +, ⁡, x, −, =, mtanh}",Life sciences
1340,Modular elliptic curve,"{a, b, ), (, +, n, y, x, −, =}",Life sciences
1341,Modus tollens,"{⊢, P, ¬, ,, Q, →, ∴}",Life sciences
1342,Molecular Hamiltonian,"{A, ⋅, C, B, ≥, D, +, ¯}",Physical sciences
1343,Mollifier,"{∫, d, f, ), φ, Φ, n, R, (, y, x, ϵ, −, =}",Life sciences
1344,Moment problem,"{∫, −, d, ), (, m, n, μ, ∞, x, ., =}",Life sciences
1345,Monadic predicate calculus,"{B, D, ¬, ∀, ∃, M, ∧, ), ⇒, (, y, x, z}",Applied sciences
1346,Monge–Ampère equation,"{a, c, b, ), (, +, ∂, −, y, x, ϕ, z, =}",Life sciences
1347,Monoid ring,"{g, ψ, ), (, k, ℓ, ∑, ϕ, =}",Life sciences
1348,Monoidal natural transformation,"{a, ⊗, C, D, G, F, I, (, J, m, ,, n, ∙, ), →, d}",Life sciences
1350,Moore graph,"{d, i, (, k, ), ∑, −, =, +}",Life sciences
1351,Moore matrix,"{i, j, M, ,, q, α, −, =}",Life sciences
1352,Morava K-theory,"{), (, K, ≅, n, ⊗, Y, X, ×, ∗}",Life sciences
1353,Morita equivalence,"{e, ), (, ≅, M, n, S, R}",Life sciences
1354,Morphological skeleton,"{B, ⋂, ⋃, ), (, ¯, ], ρ, ⊖, ∘, S, μ, X, [, −, =, >}",Applied sciences
1355,Morse potential,"{a, e, D, ), (, r, V, −, =}",Physical sciences
1356,Morse/Long-range potential,"{e, D, f, ), (, p, r, u, V, y, β, −, =}",Physical sciences
1357,Motion ratio,"{a, c, e, D, g, i, m, =, M, l, n, p, s, R, t, W, h, r, S}",Professional studies
1358,Motor variable,"{∈, f, ), (, +, j, ,, R, u, v, y, x, z, =}",Life sciences
1359,Mountain pass theorem,"{∈, C, g, ), H, =, ], ,, ;, (, v, [, {, Γ, }, |}",Life sciences
1361,Muller's method,"{f, ), (, k, =, ,, ., ±, w, x, [, −, ], +}",Life sciences
1362,Multi-index notation,"{), (, ,, n, …, α, =}",Life sciences
1364,Multinomial logistic regression,"{⋅, i, (, k, ,, ), score, ⁡, X, β, =}",Applied sciences
1365,Multiplication theorem,"{⁡, ∇, Li, ∞, ∑, −, log, ψ, ), (, +, ,, /, π, ., ;, =, ⋅, F, ξ, [, ], ζ, z, e, d, f, i, k, ⋯, m, n, q, s, t, Γ}",Life sciences
1366,Multiplicative order,"{a, ), (, k, ≡, n, mod}",Life sciences
1367,Multiplicity of infection,"{!, ⋅, e, ), (, m, n, P, −, =}",Life sciences
1368,Multiplier-accelerator model,"{C, g, I, +, t, Y, ;, =}",Applied sciences
1369,Multiply–accumulate operation,"{a, c, b, ), (, +, ←, ×}",Life sciences
1370,Multisymplectic integrator,"{), (, K, L, ∇, S, t, x, z, =, +}",Life sciences
1371,Multivariate probit model,"{C, g, ), (, L, o, n, →, R, {, }, ∖}",Applied sciences
1373,Møller scattering,"{⟨, ⟩, i, N, θ, =}",Life sciences
1374,N-electron valence state perturbation theory,"{Ψ, A, C, ⟩, I, (, m, ,, ), S, ∑, ∈, =, |}",Applied sciences
1375,N-ellipse,"{∈, −, d, ), i, =, +, ,, n, ∑, R, u, (, v, y, x, {, :, }}",Life sciences
1376,"NTRU Cryptosystems, Inc.","{), (, /, N, R, x, [, −, ]}",Applied sciences
1377,Naimark's dilation theorem,"{C, i, =, +, ], L, o, S, [, ×}",Life sciences
1379,Nanothermometry,"{d, /, Q, S, r, T, =}",Applied sciences
1381,Napierian logarithm,"{a, log, g, ), (, L, o, N, p, ⁡, x, −, =}",Life sciences
1382,Napkin ring problem,"{h, ., V, =, π}",Life sciences
1383,Nash embedding theorem,"{⟨, ⟩, d, g, f, ), (, ,, w, v, ϵ, =}",Life sciences
1385,Navier–Stokes equations,"{A, ), (, +, t, y, x, =}",Life sciences
1386,Near-field scanning optical microscope,"{A, λ, =, d, N}",Applied sciences
1387,Nearly completely decomposable Markov chain,"{′, log, f, ), (, ≤, ⁡, −, z, +, |}",Applied sciences
1388,Nearly free electron model,"{Ω, ⋅, e, ψ, i, (, k, ), r, =}",Physical sciences
1389,Necklace polynomial,"{d, ), (, M, ,, n, ∑, α, =, |}",Life sciences
1391,Nekhoroshev estimates,"{I, (, ε, n, <, ), t, −, |, /}",Life sciences
1393,Nesbitt's inequality,"{a, c, b, ≥, +}",Life sciences
1394,Nested RAID levels,"{a, c, e, D, f, i, o, n, s, r, t, v, =}",Applied sciences
1396,Neumann series,"{∑, k, =, T, ∞}",Life sciences
1398,Neural modeling fields,"{d, ), =, ,, n, →, (, X, {, }, D}",Applied sciences
1400,New Keynesian economics,"{a, i, (, +, ¯, π, ), r, t, y, −, =, ∗}",Humanities
1401,Newey–West estimator,"{!, ,, e, d, f, i, +, l, o, n, w, r, t, ℓ, −, =, <, L, >}",Applied sciences
1402,Newman–Keuls method,"{A, B, E, ¯, M, n, q, S, X, −, =}",Applied sciences
1403,Newman–Shanks–Williams prime,"{), (, +, m, S, −, =}",Life sciences
1404,Newton's identities,"{), i, (, k, ⋯, ,, n, p, …, ∑, x, =, +}",Life sciences
1405,Newton's law of cooling,"{A, ⋅, d, ), h, =, Q, t, (, −, Δ, T}",Physical sciences
1407,Newton's rings,"{λ, −, ), ], /, N, R, (, [, r, =}",Physical sciences
1409,Newtonian gauge,"{Ψ, a, b, d, ), =, +, Φ, s, t, (, x, −, δ}",Life sciences
1410,Newtonian potential,"{ρ, V, x, =, |, ∗}",Life sciences
1411,Neyman–Pearson lemma,"{), (, ≤, L, θ, Λ, x, =, ∣, η}",Auxiliary sciences of history
1412,No free lunch in search and optimization,"{a, d, f, ), (, m, ,, P, y, =, |, ∑}",Life sciences
1413,Nodal period,"{), B, F, I, (, ], P, t, [, −, =}",Professional studies
1414,Nodary,"{a, E, ), (, k, ,, /, u, sn, ⁡, x, −, =, +}",Life sciences
1415,Node influence metric,"{), log, i, h, j, p, κ, (, exp, ⁡, ∑, −, =}",Life sciences
1416,Noether inequality,"{c, g, ), (, +, p, X, ≤}",Life sciences
1417,Noetherian ring,"{⊆, I, k, ⋯, −, +}",Life sciences
1418,Non-associative algebra,"{−, ), =, ,, (, y, x, [, z, ]}",Life sciences
1419,Non-circular gear,"{a, ), (, +, θ, r, =}",Professional studies
1420,Non-exact solutions in general relativity,"{g, ), h, +, O, μ, ν, (, =, η}",Life sciences
1421,Non-local means,"{Ω, C, d, f, ), (, ∫, ,, q, p, u, v, =}",Applied sciences
1422,Non-random two-liquid model,"{a, c, b, d, f, i, (, +, τ, ), j, ln, T, ⁡, =}",Physical sciences
1423,Noncototient,"{), φ, +, n, q, p, (, −, =}",Life sciences
1424,Nonlinear Schrödinger equation,"{∫, d, ψ, H, +, ∂, κ, =, x, [, ], |}",Life sciences
1425,Nonlinear autoregressive exogenous model,"{F, ), (, +, ,, u, t, …, y, −, =, ε}",Applied sciences
1426,Nonlinear eigenproblem,"{A, ), (, ,, λ, x, =}",Life sciences
1427,Nordström's theory of gravitation,"{d, ∇, →, u, t, ϕ, −, =}",Categories by parameter
1428,Normal family,"{f, ), (, n, →, z}",Life sciences
1429,Normal force,"{cos, g, ), (, m, N, θ, ⁡, =}",Physical sciences
1430,Normal probability plot,"{a, −, i, (, +, Φ, n, ), z, =}",Life sciences
1434,Normally distributed and uncorrelated does not imply independent,"{C, d, ), h, m, ,, o, (, =, D}",Life sciences
1435,Norton's theorem,"{), (, =, →, t, x, [, ]}",Physical sciences
1436,Nowhere-zero flow,"{∈, e, ), φ, +, =, (, v, ∑, −, δ}",Life sciences
1437,Nuclear cross section,"{a, b, ), (, +, j, σ, p, B, T, v, =, |}",Physical sciences
1438,Nuclear density,"{A, π, R, =, n}",Environmental studies
1439,Number theoretic Hilbert transform,"{c, i, =, m, N, ln, S, R, ⁡, ∑, x, −, Δ}",Applied sciences
1440,Numerical methods in fluid mechanics,"{′, f, ), (, +, =, →, lim, x, −, Δ}",Physical sciences
1441,Nusselt number,"{h, k, L, N, u, =}",Physical sciences
1442,Nyquist ISI criterion,"{None, ), h, ≠, n, s, T, (, {, =, ;}",Applied sciences
1443,Nyquist stability criterion,"{G, ), (, k, s, T, =, +}",Applied sciences
1444,Nyström method,"{a, ∫, b, d, ≈, ), h, k, n, w, (, ∑, x, =}",Life sciences
1445,Néel relaxation theory,"{⁡, ), (, K, τ, T, exp, V, =, k}",Physical sciences
1446,Néron differential,"{a, x, +, =, y}",Life sciences
1447,Observed information,"{log, f, i, (, …, ,, n, θ, ), ℓ, ⁡, ∑, X, =, |}",Applied sciences
1448,Octave,"{a, c, e, log, f, ), (, ⁡, o, s, t, v, =}",Society
1449,Ohm's law,"{I, R, =, V}",Physical sciences
1450,Ohnesorge number,"{h, σ, L, O, μ, ρ, =}",Life sciences
1451,Old quantum theory,"{⋅, f, i, ], +, J, M, ), R, (, α, β, −, =, [}",Categories by parameter
1452,On shell and off shell,"{c, E, →, m, p, −, =, |}",Physical sciences
1453,On-balance volume,"{c, E, h, n, R, −, =}",Life sciences
1454,One-loop Feynman diagram,"{ln, =, +, ⁡, ), S, r, T, …, (, ϕ, Γ, ], [}",Life sciences
1455,One-sided limit,"{a, f, ), lim, +, o, ↓, →, r, (, x, ↘, >}",Life sciences
1456,One-way compression function,"{E, i, H, m, ), ⊕, (, −, =}",Applied sciences
1457,Onsager reciprocal relations,"{d, +, M, P, S, μ, T, V, U, −, =}",Life sciences
1458,Open-circuit time constant method,"{C, ω, j, O, R, V, −, =}",Life sciences
1459,Optical autocorrelation,"{A, ∫, E, d, ), (, +, τ, t, ∞, −, =, ∗}",Applied sciences
1460,Optical medium,"{E, H, y, x, =, η}",Physical sciences
1461,Optical modulation amplitude,"{P, −, =}",Applied sciences
1462,Optical properties of carbon nanotubes,"{a, d, ), (, +, m, π, n, =}",Professional studies
1463,Optical transfer function,"{), e, F, i, h, M, O, P, T, (, =, ν}",Physical sciences
1465,Optimal stopping,"{E, G, ≤, τ, T, V, =, sup, ∗, t}",Life sciences
1466,Optional stopping theorem,"{≥, E, τ, X, [, ]}",Life sciences
1467,Orbit phasing,"{e, ), (, π, T, ⁡, E, −, =, sin, t}",Professional studies
1468,Orbit portrait,"{c, f, ), (, +, z, =}",Life sciences
1469,Orbital state vectors,"{=, ^, u, t, v}",Life sciences
1470,Orientation of a vector bundle,"{−, ), (, π, →, R, U, ϕ, n, ×}",Life sciences
1471,Ornstein–Uhlenbeck operator,"{d, i, Δ, ∇, ∘, v, =}",Life sciences
1472,Orthogonal trajectory,"{⋅, =, g, ∇, f}",Life sciences
